Zone,Addresse,Nom,Nb affiches,Dernier Collage,Décollé?,Nom Itinéraire,Pos Itinéraire,Coordonnées,Officiel
La Couronne,"La Montée, avenue de la Gare (giratoire Super U)",,,30/05/2022 07:46:30,FALSE,Officiel La Couronne,,"45.607005, 0.088215",TRUE
La Couronne,"Lafont, route du Moulin de Colas",,,30/05/2022 07:34:01,FALSE,Officiel La Couronne,,"45.613188, 0.070357",TRUE
La Couronne,"Le Mas, route de Saint-Michel",,,30/05/2022 07:10:04,FALSE,Officiel La Couronne,,"45.625434, 0.096216",TRUE
La Couronne,"Le Grand Maine, route du Grand Maine",,,30/05/2022 07:17:45,FALSE,Officiel La Couronne,,"45.623183, 0.077189",TRUE
La Couronne,"Breuty, place de Breuty",,,30/05/2022 08:26:46,FALSE,Officiel La Couronne,,"45.618968, 0.116725",TRUE
La Couronne,"Le Pont des Gallands, giratoire de la route de Mouthiers",,,30/05/2022 08:07:06,FALSE,Officiel La Couronne,,"45.599838, 0.098255",TRUE
La Couronne,"Les Barrets, place de la route de la Charbonnière",,,30/05/2022 07:41:38,FALSE,Officiel La Couronne,,"45.612049, 0.086195",TRUE
La Couronne,"Le Pont Neuf, entrée du lot de la route de Vœuil",,,30/05/2022 08:16:35,FALSE,Officiel La Couronne,,"45.60201908577267, 0.13897836111157483",TRUE
La Couronne,"Les Séverins, route de Vœuil aux Séverins",,,30/05/2022 08:11:38,FALSE,Officiel La Couronne,,"45.605272, 0.119459",TRUE
NERSAC,Salle communale,,,30/05/2022 23:24:11,FALSE,Officiel Nersac,,"45.623645, 0.050572",TRUE
NERSAC,Place de l’Union,,,30/05/2022 23:24:13,FALSE,Officiel Nersac,,"45.625847, 0.050950",TRUE
NERSAC,HLM,,,30/05/2022 23:24:18,FALSE,Officiel Nersac,,"45.626009, 0.049680",TRUE
NERSAC,École Alfred de Vigny groupe B,,,30/05/2022 23:31:04,FALSE,Officiel Nersac,,"45.627446, 0.050924",TRUE
NERSAC,Les Fleuranceaux,,,30/05/2022 23:33:28,FALSE,Officiel Nersac,,"45.630206, 0.052676",TRUE
NERSAC,La Meure,,,30/05/2022 23:31:12,FALSE,Officiel Nersac,,"45.633174, 0.047320",TRUE
NERSAC,Place du Peu,,,30/05/2022 23:07:36,FALSE,Officiel Nersac,,"45.625586, 0.059406",TRUE
NERSAC,Le Vieux Peu,,,30/05/2022 23:07:41,FALSE,Officiel Nersac,,"45.624915, 0.058345",TRUE
NERSAC,Le Pont Thuillier,,,30/05/2022 23:38:58,FALSE,Officiel Nersac,,"45.622077, 0.052672",TRUE
NERSAC,Place de Pombreton,,,31/05/2022 00:02:46,FALSE,Officiel Nersac,,"45.617804, 0.061088",TRUE
PUYMOYEN,Impasse de l’Ouche du Roy,,,30/05/2022 16:25:28,FALSE,Officiel PUYMOYEN,,"45.611277, 0.187396",TRUE
PUYMOYEN,Impasse de l’Ouche du Roy,,,30/05/2022 16:25:37,FALSE,Officiel PUYMOYEN,,"45.611330, 0.187573",TRUE
PUYMOYEN,Route de la Vallée des Eaux Claires,,,30/05/2022 16:36:11,FALSE,Officiel PUYMOYEN,,"45.616422, 0.154760",TRUE
PUYMOYEN,Rue du Cormier,,,30/05/2022 15:59:34,FALSE,Officiel PUYMOYEN,,"45.616307, 0.173847",TRUE
PUYMOYEN,Rue des Bois de Rochefort,,,30/05/2022 15:52:52,FALSE,Officiel PUYMOYEN,,"45.618386, 0.166834",TRUE
PUYMOYEN,Rue de Vouillac,,,30/05/2022 15:44:30,FALSE,Officiel PUYMOYEN,,"45.620842, 0.162050",TRUE
PUYMOYEN,Rue de Peusec (devant la salle des fêtes),,,30/05/2022 16:17:45,FALSE,Officiel PUYMOYEN,,"45.618136, 0.181021",TRUE
PUYMOYEN,Rue de la Prairie,,,30/05/2022 15:37:43,FALSE,Officiel PUYMOYEN,,"45.627571, 0.158058",TRUE
PUYMOYEN,Rue des Reclos (devant le parking),,,30/05/2022 16:02:32,FALSE,Officiel PUYMOYEN,,"45.621000, 0.179966",TRUE
PUYMOYEN,Le Champ de la Croix,,,30/05/2022 16:11:06,FALSE,Officiel PUYMOYEN,,"45.614875, 0.185640",TRUE
Roullet-Saint-Estèphe,"Parking de la Maison pour tous, rue Froide (Roullet bourg)",,,31/05/2022 00:02:39,FALSE,Officiel Roullet-Saint-Estèphe,,"45.583875430994645, 0.04752872324913014",TRUE
Roullet-Saint-Estèphe,"Salle des fêtes, place du Champ-de-Foire (Roullet)",,,31/05/2022 00:02:36,FALSE,Officiel Roullet-Saint-Estèphe,,"45.581083926367576, 0.047861228449164524",TRUE
Roullet-Saint-Estèphe,"Le bourg, Cantine, (Saint-Estèphe",,,31/05/2022 00:02:33,FALSE,Officiel Roullet-Saint-Estèphe,,"45.579677, 0.013132",TRUE
SAINT-MICHEL,Centre commercial : Avenue de la République,,,30/05/2022 06:38:43,FALSE,Officiel SAINT-MICHEL,,"45.637096, 0.112146",TRUE
SAINT-MICHEL,Stade : Boulevard de Bretagne,,,30/05/2022 06:35:59,FALSE,Officiel SAINT-MICHEL,,"45.635077, 0.114333",TRUE
SAINT-MICHEL,Logis de Chantoiseau : Place du 19 mars 1962 (Impasse Chantoiseau),,,30/05/2022 06:57:46,FALSE,Officiel SAINT-MICHEL,,"45.644778, 0.103201",TRUE
SAINT-MICHEL,Salle Polyvalente : Rue des Douhauds,,,30/05/2022 06:41:49,FALSE,Officiel SAINT-MICHEL,,"45.640461, 0.109513",TRUE
SAINT-MICHEL,Mairie : Rue Joseph Chaumette,,,30/05/2022 06:44:23,FALSE,Officiel SAINT-MICHEL,,"45.641356, 0.106724",TRUE
SAINT-MICHEL,HLM : Rue des Poètes,,,30/05/2022 06:51:29,FALSE,Officiel SAINT-MICHEL,,"45.647963, 0.108517",TRUE
SAINT-MICHEL,Les Hauts de Chantoiseau,,,30/05/2022 07:03:50,FALSE,Officiel SAINT-MICHEL,,"45.643507, 0.097782",TRUE
SAINT-MICHEL,Place des Sicauds,,,30/05/2022 06:57:50,FALSE,Officiel SAINT-MICHEL,,"45.640950, 0.101171",TRUE
Saint-Yrieix-sur-Charente,6 avenue de l’Union (sur le côté de la Mairie),,,30/05/2022 12:44:28,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.675037288837615, 0.1275016632993788",TRUE
Saint-Yrieix-sur-Charente,6 rue de l’Ancienne Mairie (Ecole Nicolas Vanier),,,30/05/2022 12:43:21,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.692164353962596, 0.11505262046742253",TRUE
