Zone;Addresse;Nom;Nb affiches;Dernier Collage;Décollé?;Nom Itinéraire;Pos Itinéraire;Coordonnées;Officiel;;;;;;;;;;;;;;
L'isle D'espagnac;Esplanade Jean Ferrand;Esplanade Jean Ferrand;;04/04/2022 22:52;TRUE;Officiel L'isle D'espagnac;;45.660550, 0.201310;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Rue de la libération;Rue de la libération;1;05/06/2022 19:51;FALSE;Officiel L'isle D'espagnac;1;45.666133, 0.202772;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Avenue Jean Mermoz;foyer culture loisirs;1;30/05/2022 23:27;FALSE;Officiel L'isle D'espagnac;1;45.672439, 0.209565;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Avenue de Montbron;Bois Boutin;;01/06/2022 23:19;FALSE;Officiel L'isle D'espagnac;;45.662133, 0.218808;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Avenue Jean Jaurès;rue Georges Clémenceau;;01/06/2022 22:14;FALSE;Officiel L'isle D'espagnac;;45.652663, 0.190478;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Rue des Plantiers;Rue des Plantiers;1;01/06/2022 23:32;FALSE;Officiel L'isle D'espagnac;1;45.666151, 0.195949;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Rue Denis Papin;;1;01/06/2022 23:26;FALSE;Officiel L'isle D'espagnac;1;45.658958, 0.190642;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Rue Aristide Briand;Ancien garage;;01/06/2022 23:27;FALSE;Officiel L'isle D'espagnac;;45.659478, 0.202945;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Rue Victore Hugo;Rue Victore Hugo;1;01/06/2022 23:37;FALSE;Officiel L'isle D'espagnac;1;45.668552, 0.187267;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Boulevard des Ecasseaux;Boulevard des Ecasseaux;;01/06/2022 23:37;FALSE;Officiel L'isle D'espagnac;;45.66559819079456, 0.1903490781182613;TRUE;;;;;;;;;;;;;;
L'isle D'espagnac;Avenue de la République;;1;05/06/2022 19:51;FALSE;Officiel L'isle D'espagnac;1;45.660834, 0.182274;TRUE;;;;;;;;;;;;;;
MAGNAC SUR TOUVRE;Rue R. Guillardie;Rue R. Guillardie;;05/06/2022 20:33;FALSE;Franck;;45.676294420912704, 0.22281911794601245;TRUE;;;;;;;;;;;;;;
MAGNAC SUR TOUVRE;Rue Pasteur;Rue Pasteur;;05/06/2022 21:11;FALSE;Franck;;45.675868, 0.224621;TRUE;;;;;;;;;;;;;;
MAGNAC SUR TOUVRE;Place du marché;Place du marché;;05/06/2022 20:20;FALSE;Franck;;45.665921, 0.237220;TRUE;;;;;;;;;;;;;;
MAGNAC SUR TOUVRE;Rue A. Briand;Rue A. Briand;;05/06/2022 20:23;FALSE;Franck;;45.659902, 0.244279;TRUE;;;;;;;;;;;;;;
MAGNAC SUR TOUVRE;Rue J. Jaurès;Rue J. Jaurès;;05/06/2022 20:32;FALSE;Franck;;45.658279, 0.234692;TRUE;;;;;;;;;;;;;;
MAGNAC SUR TOUVRE;Rue P. Cézanne;Rue P. Cézanne;;05/06/2022 20:26;FALSE;Franck;;45.644991, 0.247302;TRUE;;;;;;;;;;;;;;
MORNAC;Rue des écoles;Rue des écoles;;05/06/2022 22:40;FALSE;Franck;;45.679527, 0.273052;TRUE;;;;;;;;;;;;;;
MORNAC;Le Quéroy - Route de Mirambeau;Le Quéroy - Route de Mirambeau;1;31/05/2022 11:36;FALSE;Franck;1;45.665041, 0.305755;TRUE;;;;;;;;;;;;;;
MORNAC;Résidence Chabasse;Résidence Chabasse;1;05/06/2022 22:44;FALSE;Franck;1;45.683471, 0.284934;TRUE;;;;;;;;;;;;;;
MORNAC;"""Puy de Nanteuil"" - Route des grands champs";"""Puy de Nanteuil"" - Route des grands champs";;31/05/2022 12:14;FALSE;Franck;;45.700205, 0.270279;TRUE;;;;;;;;;;;;;;
