Zone,Addresse,Nom,Nbaffiches,DernierCollage,decolle,NomIti,PosIti,Coord,Officiel
L'isle D'espagnac,Boulevard des Ecasseaux,Boulevard des Ecasseaux,,14/06/2022 23:19:37,TRUE,,,"45.66559819079456, 0.1903490781182613",TRUE
L'isle D'espagnac,Avenue de la République,,1,14/06/2022 23:26:37,TRUE,,1,"45.660834, 0.182274",TRUE
L'isle D'espagnac,,Isle d'Espagnac,1,19/12/2022 08:53:25,FALSE,2,1,"45.658861, 0.190995",TRUE
L'isle D'espagnac,"32 Rue Denis Papin, 16340 L'Isle-d'Espagnac",Papin,2,20/12/2022 07:17:16,FALSE,2,2,"45.658723, 0.190853",FALSE
L'isle D'espagnac,,,1,20/06/2022 20:59:41,TRUE,,,"45.663575, 0.197613",TRUE
La Couronne,"Rue du 19 Mars 1962, 16400 La Couronne",Rue du 19 mars 1962,1,23/12/2022 09:07:18,FALSE,1,3,"45.610699, 0.099944",FALSE
La Couronne,"Pl. du 14 Juillet, 16400 La Couronne",Place du 14 Juillet,1,23/12/2022 09:01:54,FALSE,1,4,"45.609268, 0.097255",FALSE
La Couronne,"16400 La Couronne, France",Chez Dion,1,23/12/2022 08:48:36,FALSE,,9,"45.613118, 0.071743",FALSE
La Couronne,"16400 La Couronne, France",Les Barrets,1,23/12/2022 08:54:37,FALSE,,10,"45.611885, 0.086179",FALSE
La Couronne,"Le Grand Maine, 16400 La Couronne",Le Grand Maine,1,23/12/2022 08:42:37,FALSE,,7,"45.623605, 0.076695",FALSE
La Couronne,"16400 La Couronne, France",Le Mas,,23/12/2022 08:38:20,FALSE,,8,"45.625329, 0.096012",FALSE
La Couronne,"Breuty, 16400 La Couronne",Breuty,1,16/06/2022 18:37:24,TRUE,3,9,"45.618849, 0.116854",TRUE
La Couronne,"La Contrie, 16400 La Couronne",La Contrie,1,23/12/2022 09:22:34,FALSE,,6,"45.601212, 0.102029",FALSE
La Couronne,"All. des Sports, 16400 La Couronne",Allée des Sports,1,23/12/2022 09:19:30,FALSE,,7,"45.601337, 0.095358",FALSE
La Couronne,"Hippodrome, 16400 La Couronne",Hippodrome,4,23/12/2022 09:40:22,FALSE,3,13,"45.617868, 0.137869",FALSE
La Couronne,"Pl. du 14 Juillet, 16400 La Couronne",Place du 14 Juillet,1,16/06/2022 20:26:37,TRUE,1,4,"45.609268, 0.097255",TRUE
La Couronne,"16400 La Couronne, France",Chez Dion,1,16/06/2022 17:31:32,TRUE,1,9,"45.613397, 0.070626",TRUE
La Couronne,"16400 La Couronne, France",Les Barrets,1,23/12/2022 08:54:34,FALSE,1,10,"45.611885, 0.086179",FALSE
La Couronne,"Le Grand Maine, 16400 La Couronne",Le Grand Maine,1,16/06/2022 20:30:07,TRUE,4,7,"45.622524, 0.078227",TRUE
La Couronne,"16400 La Couronne, France",Le Mas,,16/12/2022 23:08:38,FALSE,4,8,"45.625329, 0.096012",FALSE
La Couronne,"Breuty, 16400 La Couronne",Breuty,1,23/12/2022 09:46:27,FALSE,1,9,"45.618849, 0.116854",FALSE
La Couronne,"16400 La Couronne, France",Les Séverins,1,23/12/2022 09:27:47,FALSE,1,1,"45.605532, 0.119567",FALSE
La Couronne,"La Contrie, 16400 La Couronne",La Contrie,1,23/12/2022 10:49:00,FALSE,1,6,"45.601212, 0.102029",FALSE
La Couronne,"16400 La Couronne, France",La Montée,1,16/06/2022 20:26:42,TRUE,1,8,"45.606961, 0.088222",TRUE
La Couronne,"All. des Sports, 16400 La Couronne",Allée des Sports,1,23/12/2022 09:22:54,FALSE,1,7,"45.601337, 0.095358",FALSE
La Couronne,"Rte de Libourne, 16400 La Couronne",Route de Libourne,6,23/12/2022 09:35:54,FALSE,3,13,"45.609314, 0.151313",FALSE
La Couronne,"Le Pont Neuf, entrée du lot de la route de Vœuil",,,16/06/2022 18:58:39,TRUE,,,"45.60201908577267, 0.13897836111157483",TRUE
La Couronne,"Les Séverins, route de Vœuil aux Séverins",,,17/06/2022 22:24:51,TRUE,,,"45.605272, 0.119459",TRUE
La Couronne,,Champ de Foire / Av Libération,,16/06/2022 20:26:33,TRUE,,,"45.606272, 0.100459",TRUE
Les Poètes 1,,,2,19/12/2022 10:05:21,FALSE,6,,"45.648026, 0.108503",FALSE
MAGNAC SUR TOUVRE,Rue R. Guillardie,Rue R. Guillardie,,16/06/2022 15:06:46,TRUE,,,"45.675459, 0.224743",TRUE
MAGNAC SUR TOUVRE,Rue Pasteur,Rue Pasteur,,16/06/2022 15:08:13,TRUE,,,"45.673034, 0.229973",TRUE
MAGNAC SUR TOUVRE,Place du marché,Place du marché,,15/06/2022 01:31:57,TRUE,,,"45.665921, 0.237220",TRUE
MAGNAC SUR TOUVRE,Rue A. Briand,Rue A. Briand,,15/06/2022 01:32:35,TRUE,,,"45.658769, 0.234946",TRUE
MAGNAC SUR TOUVRE,Rue J. Jaurès,Rue J. Jaurès,,16/06/2022 09:41:36,TRUE,,,"45.658279, 0.234692",TRUE
MAGNAC SUR TOUVRE,Rue P. Cézanne,Rue P. Cézanne,,15/06/2022 22:58:07,TRUE,,,"45.644991, 0.247302",TRUE
MORNAC,Rue des écoles,Rue des écoles,,15/06/2022 22:59:02,TRUE,,,"45.679527, 0.273052",TRUE
MORNAC,Le Quéroy - Route de Mirambeau,Le Quéroy - Route de Mirambeau,1,15/06/2022 23:39:16,TRUE,,1,"45.665041, 0.305755",TRUE
MORNAC,Résidence Chabasse,Résidence Chabasse,1,15/06/2022 22:59:04,TRUE,,1,"45.683471, 0.284934",TRUE
MORNAC,Puy de Nanteuil - Route des grands champs,Puy de Nanteuil - Route des grands champs,,16/06/2022 00:02:48,TRUE,,,"45.700205, 0.270279",TRUE
MORNAC,,,1,16/12/2022 22:06:52,FALSE,2,,"45.699617, 0.270970",FALSE
NERSAC,Salle communale,,,15/06/2022 23:28:42,TRUE,,,"45.623645, 0.050572",TRUE
