Zone,Addresse,Nom,Nbaffiches,DernierCollage,decolle,NomIti,PosIti,Coord,Officiel
Saint-Yrieix-sur-Charente,6 rue de l’Ancienne Mairie (Ecole Nicolas Vanier),,,15/06/2022 16:19:34,TRUE,,,"45.690683, 0.115119",TRUE
Saint-Yrieix-sur-Charente,Carrefour de la rue des Augerauds et des Mesniers,,,15/06/2022 16:21:26,TRUE,,,"45.684889, 0.124887",TRUE
Saint-Yrieix-sur-Charente,Rue Jacques Chardonne (à côté du transformateur),,,15/06/2022 15:36:53,TRUE,,,"45.666309, 0.143212",TRUE
Saint-Yrieix-sur-Charente,22 rue des Ecoles (Préau de l’école C Roy B),,,15/06/2022 15:44:24,TRUE,,,"45.667218, 0.127923",TRUE
Saint-Yrieix-sur-Charente,152 rue J et C Priolaud (en face de l’entrée de la salle des fêtes),,,15/06/2022 15:56:55,TRUE,,,"45.678355, 0.143316",TRUE
Saint-Yrieix-sur-Charente,Angle de l’avenue de l’Union et de l’allée Léo Lagrange (Gymnase des Berneries),,,15/06/2022 15:51:54,TRUE,,,"45.6761110486578, 0.1290371247221045",TRUE
Saint-Yrieix-sur-Charente,Rue des Mesniers (Arrêt de bus « Nautilis »),,,15/06/2022 16:04:17,TRUE,,,"45.683787, 0.142862",TRUE
Sers,,Sers,1,30/05/2022 20:19:52,TRUE,,,"45.598656, 0.322019",TRUE
Soyaux,Espace Henri Matisse (côté droit de l’allée d’accès),,,15/06/2022 00:27:00,TRUE,,,"45.641770, 0.196120",TRUE
Soyaux,Rue De la cigogne,,,15/06/2022 01:29:02,TRUE,,,"45.640173, 0.191894",TRUE
Soyaux,"Place Lucien Petit, du côté de la rue des Lilas",,,15/06/2022 00:31:02,TRUE,,,"45.641856, 0.189755",TRUE
Soyaux,"Le Pétureau, place Charlemagne",,,15/06/2022 00:12:17,TRUE,,,"45.637939, 0.197118",TRUE
Soyaux,"Avenue Christophe Colomb, le long du parking du square du 8 mai 1945",,,15/06/2022 00:01:03,TRUE,,,"45.640384, 0.186198",TRUE
Soyaux,"Antornac, à l’entrée du bourg",,,16/06/2022 15:56:27,TRUE,,,"45.646144, 0.217480",TRUE
Soyaux,"Chemin d’Entreroches, entre la rue de la Combe et l’impasse des Glycines",,,14/06/2022 23:39:53,TRUE,,,"45.650457, 0.194160",TRUE
Soyaux,"Boulevard Léon Blum, entre Gulliver et Mille et une facettes",,,14/06/2022 23:47:20,TRUE,,,"45.648205, 0.184858",TRUE
Soyaux,"Rue Maurice Ravel, à l’angle de la rue Maurice Ravel et rue Maréchal Fayolle",,,14/06/2022 23:51:03,TRUE,,,"45.645254, 0.181197",TRUE
Soyaux,"Square des Marronniers, au croisement de l’allée des Marronniers et de la rue du Bourg",,,15/06/2022 00:24:45,TRUE,,,"45.643048, 0.203264",TRUE
Soyaux,"La croix blanche, carrefour route du Peux et chemin de Bressour",,,15/06/2022 00:18:45,TRUE,,,"45.634350, 0.208018",TRUE
Soyaux,"597 Rue Georges Courteline, 16800 Soyaux",Courteline,3,24/12/2022 09:09:36,FALSE,5,10,"45.650216, 0.184342",FALSE
Soyaux,"18B Rue du Dr Fernand Lamaze, 16800 Soyaux",Fernand Lamaze,3,24/12/2022 09:54:47,FALSE,5,2,"45.642588, 0.182261",FALSE
Soyaux,"12 Av. du Petureau, 16800 Soyaux",Av. du Petureau,6,24/12/2022 09:18:22,FALSE,5,1,"45.638764, 0.193328",FALSE
Touvre,Impasse de la Maillerie,Maillerie,1,16/06/2022 15:29:16,TRUE,,,"45.663750, 0.251690",TRUE
Touvre,Route de la Sablière,La Sablière,1,15/06/2022 22:50:05,TRUE,,,"45.658465, 0.247809",TRUE
Touvre,Beauregard,Beauregard,1,15/06/2022 01:30:21,TRUE,,,"45.6668272, 0.2625494",TRUE
Touvre,Rue des Varennes,Les Varennes,1,15/06/2022 22:51:32,TRUE,,,"45.651394, 0.266119",TRUE
Touvre,Fourville,Fourville,1,16/06/2022 15:23:45,TRUE,,,"45.672317, 0.250258",TRUE
Voeuil-Et-Giget,Bourg de Vœuil,,,16/06/2022 09:44:46,TRUE,,,"45.585438, 0.154409",TRUE
Voeuil-Et-Giget,Bourg de Giget,,,01/07/2022 20:36:47,TRUE,,,"45.604176, 0.153361",TRUE
Voeuil-Et-Giget,Allée des Sports,,,16/06/2022 09:23:37,TRUE,,,"45.592520, 0.149328",TRUE
Vouzan,Salles des fêtes,,,15/06/2022 23:17:49,TRUE,,,"45.602521, 0.356358",TRUE
La couronne,,,3,23/12/2022 09:12:56,FALSE,,,"45.608869, 0.101335",FALSE
Angoulême,"35 Rue de la Belle Allée, 16000 Angoulême, France",,2,24/12/2022 09:39:32,FALSE,,,"45.639205, 0.172024",FALSE
La couronne,,,1,16/06/2022 18:58:41,TRUE,,,"45.599246, 0.099651",TRUE
La couronne,,,1,17/06/2022 22:28:36,TRUE,,,"45.608587, 0.101988",TRUE
Soyaux,,Romain Rolland,,20/06/2022 21:13:27,TRUE,,,"45.646014, 0.189888",TRUE
